Upgrade.Package,Number.of.Commits,Number.of.changed.modules,Number.of.Modules.with.no.Commit.info,Module,Module.Alias,No.Commit.Info,Internal.TRs,Internal.real.TRs,Open.Internal.TRs,Internal.Duplicates,External.TRs,Real.External.TRs,Open.external.TRs,External.Duplicates,Invalid.Internal.TRs,Invalid.External.TRs,Positive.size.delta,Negative.size.delta,Number.of.unique.passed.test.cases,Type,DS.Code,Rel.to.Customer,Label,Release.Type,Number.of.files,Language,File.Complexity,Function.Complexity,Class.Complexity,lines,ncloc,Number.of.all.corrected.TRs,File.correct.TR,Created,Corrected.TRs.Internal,Corrected.TRs.External,Reported.TRs.Internal,Reported.TRs.External,Revert,Total.number.of.modules,Fake.UP,No.of.TRs.using.fake.UP,Development.TR,Rows.Added,Rows.Removed,Customer.Rel.Type,Type.of.Change,Test.Focus,Number.of.users,Repository,CL,No.of.users.on.file,No.of.commits.on.file,code_smells,classes,cognitive_complexity,duplicated_blocks,Modules_changed_Ratio,Num.LMCs.in.int-g2,Num.LMCs.in.empty_repo,Num.LMCs.in.wrat,Num.LMCs.in.common-grat,Num.LMCs.in.bbi,Num.LMCs.in.ncmain,Num.LMCs.in.sup,Num.LMCs.in.lrat,Num.LMCs.in.tn-comps,Num.LMCs.in.sync,Num.LMCs.in.pm_fwk,Num.LMCs.in.nci,Num.LMCs.in.oamImmHandler,Num.LMCs.in.oamcli,Num.LMCs.in.oamgui,Num.LMCs.in.racoam,Num.LMCs.in.bb,Num.LMCs.in.rcs-yocto,Num.LMCs.in.rcs-test,Num.LMCs.in.rbsiw1,Num.LMCs.in.ebb,Num.LMCs.in.common_hcms_rules,Num.LMCs.in.dfl-mgr,Number.of.Total.Files,Number.of.M.files,Number.of.A.files,Number.of.M+A.Files,Number.of.D.files,Number.of.E.files,Files.We.Are.Scanning,Num.files.empty,Num.files.c++,Num.files.xml,Num.files.cs,Num.files.py,Num.files.php,Num.files.java,Num.files.js,DuplicateLMCs,FilesFromDuplicateLMCs,DuplicateFilesSharingCommits,NumberOfIdentifiedNoisyFiles,Final.Positive.size.delta,Final.Negative.size.delta,Final.File.Complexity,Final.Function.Complexity,Final.Class.Complexity,Final.lines,Final.ncloc,Final.code_smells,Final.cognitive_complexity,Final.classes,Final.duplicated_blocks,Final.No.of.users.on.file,Final.No.of.commits.on.file,Final.Files.Post.Duplicate.Noisy,Final.Number.of.M.files,Final.Number.of.A.files,Final.Number.of.M+A.Files,Final.Number.of.D.files,Final.Number.of.E.files,Final.Rows.Added,Final.Rows.Removed,Final.File.correct.TR,Final.in.Repo.int-g2,Final.in.Repo.empty_repo,Final.in.Repo.wrat,Final.in.Repo.common-grat,Final.in.Repo.bbi,Final.in.Repo.ncmain,Final.in.Repo.sup,Final.in.Repo.lrat,Final.in.Repo.tn-comps,Final.in.Repo.sync,Final.in.Repo.pm_fwk,Final.in.Repo.nci,Final.in.Repo.oamImmHandler,Final.in.Repo.oamcli,Final.in.Repo.oamgui,Final.in.Repo.racoam,Final.in.Repo.bb,Final.in.Repo.rcs-yocto,Final.in.Repo.rcs-test,Final.in.Repo.rbsiw1,Final.in.Repo.ebb,Final.in.Repo.common_hcms_rules,Final.in.Repo.dfl-mgr,Final.Files.We.Are.Scanning,Final.Num.files.empty,Final.Num.files.c++,Final.Num.files.xml,Final.Num.files.cs,Final.Num.files.py,Final.Num.files.php,Final.Num.files.java,Final.Num.files.js,Slash
CXP9024418/6_R5M04,1,2,0,,,0,0,0,0,0,0,0,0,0,0,0,2,0,53,G2,"",0,17.Q1.C6,Development,1,,0,0,0,0,0,0,0,2018-06-02,"","","","",,69,,0,,4,4,"",,1,,,3,,,0,0,0,0,0.0289855072463768,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,1,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,1,1,0,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6
CXP9024418/6_R28L53,2,3,0,,,0,0,0,0,0,0,0,0,0,0,0,5946,-5,62,G2,"",0,17.Q4.C4,Development,12,,0,0,0,0,0,0,0,2018-06-02,"","","","",,80,,0,,486,324,"",,1,,,3,,,0,0,0,0,0.0375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,22,22,0,22,0,0,0,22,0,0,0,0,0,0,0,1,10,0,,2973,-5,0,0,0,0,0,0,0,0,0,,,12,12,0,12,0,0,251,170,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,6
CXP9024418/6_R45A56,210,9,1,,,0.111111111111111,0,0,0,0,0,0,0,0,0,0,4587168,-1651500,952,G2,"",0,main,Development,1621,,14256,251.5,3592.7,386056,163266,3,1,2018-06-02,HW86043,"","","",,91,,0,,0,0,"",,1,,,3,,,0,0,0,0,0.0989010989010989,0,1,1,1,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1733,1337,327,1664,69,0,127,1606,104,0,0,0,0,23,0,2,112,2,,4521415,-1524551,7896,154.1,2404.8,206231,90915,0,0,0,0,,,1620,1224,327,1551,69,0,0,0,1,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,75,1545,52,0,0,0,0,23,0,6
CXP9024418/6_R44B24,108,4,0,,,0,0,0,0,0,0,0,0,0,0,0,1365229,-1333518,110,G2,"",0,MTR_18.23,Development,981,,1085,43.2,765.9,17438,14490,3,6,2018-06-03,HW86043|HW87385,"","","",,91,,0,,0,0,"",,1,,,3,,,0,0,0,0,0.043956043956044,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,983,853,62,915,68,0,14,969,0,0,0,0,0,14,0,1,2,56,,1361111,-1331488,1085,43.2,765.9,17438,14490,0,0,0,0,,,953,824,62,886,67,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,939,0,0,0,0,0,14,0,6
CXP9024418/6_R28L54,1,2,0,,,0,0,0,0,0,0,0,0,0,0,0,1862,0,102,G2,"",0,17.Q4.C4,Development,3,,0,0,0,0,0,1,0,2018-06-03,"","","","",,80,,0,,30,10,"",,1,,,3,,,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,6,0,6,0,0,0,6,0,0,0,0,0,0,0,1,3,0,,931,0,0,0,0,0,0,0,0,0,0,,,3,3,0,3,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6
CXP9024418/6_R45A68,108,8,1,,,0.125,1,0,0,1,0,0,0,0,0,0,2682336,-22894414,1086,G2,"",0,main,Development,2163,,2158,111.4,1465.4,22442,14511,1,4,2018-06-03,HW85278,"","","",,91,,0,,0,0,"",,1,,,3,,,0,0,0,0,0.0879120879120879,0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2462,2074,367,2441,21,0,49,2413,24,0,0,0,0,25,0,1,299,0,,2385846,-11812632,1863,90,1305.4,18459,12137,0,0,0,0,,,2163,1821,327,2148,15,0,0,0,4,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,37,2126,12,0,0,0,0,25,0,6
CXP9024418/6_R28L55,0,1,0,,,0,4,1,0,1,2,1,0,0,3,1,0,0,320,G2,DS4,1,17.Q4.C4,Post-GA,0,,0,0,0,0,0,0,0,2018-06-04,"","",HW92362,HW95020,,80,,0,,,,ECC,,1,,,3,,,,,,,0.0125,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,6
CXP9024418/6_R45A73,17,8,1,,,0.125,3,0,0,2,0,0,0,0,3,0,8124,-831,494,G2,"",0,main,Development,25,,169,8.2,19,2908,2071,1,3,2018-06-04,HW87632,"","","",,91,,0,,0,0,"",,1,,,3,,,0,0,0,0,0.0879120879120879,0,1,1,1,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,26,1,27,0,0,5,22,3,0,0,0,0,2,0,1,2,2,,7460,-831,162,7.2,12,2737,2001,0,0,0,0,,,24,23,1,24,0,0,0,0,3,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,3,0,0,0,0,1,0,6
CXP9024418/6_R34E53,1,2,0,,,0,0,0,0,0,0,0,0,0,0,0,33814,0,60,G2,"",0,18.Q1.2,Development,3,,0,0,0,0,0,1,0,2018-06-04,"","","","",,82,,0,,758,2,"",,1,,,3,,,0,0,0,0,0.024390243902439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,6,0,6,0,0,0,6,0,0,0,0,0,0,0,1,3,0,,16907,0,0,0,0,0,0,0,0,0,0,,,3,3,0,3,0,0,379,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6
CXP9024418/6_R45A81,110,24,3,,,0.125,1,1,1,0,0,0,0,0,0,0,3808858,-3774353,1235,G2,"",0,main,Development,2224,,41277,1065.1,13328.1,621604,346298,8,7,2018-06-04,HW70896,"",HW89949,"",,91,,0,,0,0,"",,1,,,3,,,271,20,499,0,0.263736263736264,6,3,1,1,2,5,1,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2560,1625,474,2099,461,0,671,1889,577,46,0,0,12,36,0,6,228,2017,,1938365,-2956995,21064,566.3,7563,308528,166471,74,152,7,0,,,1281,774,233,1007,274,0,0,0,7,2,0,1,1,1,4,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,330,951,299,11,0,0,2,18,0,6
CXP9024418/6_R44B28,22,5,0,,,0,0,0,0,0,0,0,0,0,0,0,26849,-8794,131,G2,"",0,MTR_18.23,Development,73,,1414,41.6,690,18650,12039,0,0,2018-06-04,"","","","",,91,,0,,0,0,"",,1,,,3,,,0,0,0,0,0.054945054945055,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,65,7,72,2,0,15,59,8,0,0,0,0,7,0,1,1,13,,26792,-8794,1414,41.6,690,18650,12039,0,0,0,0,,,66,57,7,64,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,51,8,0,0,0,0,7,0,6
CXP9024418/6_R42C52,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,105,G2,"",0,18.Q2.0,Development,0,,0,0,0,0,0,0,0,2018-06-04,"","","","",,90,,0,,,,"",,1,,,3,,,,,,,0.0111111111111111,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,6
